CODE_VILLE,BPR,GENDER,MARITAL_STATUS,NOMBRE_ENFANT,CUSTOMER_RATING,TAILLE_ENTREPRI,age_client,label_code,label_nom,pack_actuel,pack_etat,solde_moyen,solde_min,nb_mois_observes_solde,depot_moyen,flux_cred_total,nb_mois_avec_flux,nb_operations_gab,montant_total_gab,montant_moyen_gab,nb_retraits,montant_total_retraits,nb_paiements_digitaux,montant_total_payfac,nb_vignettes_payees,montant_total_vignette,label_eligibilite,jamais_active_digital,jamais_utilise_gab,anciennete_digitale_jours_imp,recence_gab_jours_imp,nb_mois_observes_solde_etait_extreme,NOMBRE_ENFANT_etait_extreme,solde_moyen_etait_extreme,solde_min_etait_extreme,solde_max_etait_extreme,depot_moyen_etait_extreme,flux_cred_moyen_etait_extreme,flux_cred_total_etait_extreme,montant_total_gab_etait_extreme,montant_moyen_gab_etait_extreme,montant_total_retraits_etait_extreme,montant_total_payfac_etait_extreme,montant_total_vignette_etait_extreme,solde_volatilite_indefinie,solde_volatilite_relative_imp
055,50,M,1,0,SVC,PARTICULIER,29,,,PLOCI,W,-1525.3579166666668,-1033.2150000000001,24,198.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
400,45,M,9,0,FNC,PARTICULIER,63,,,PLOF1,W,28334.288333333323,847.065,24,25334.6892,193961.92,3,4,0.0,0.0,13,20000.0,1,397.72,0,0.0,0.0,0,0,2053,1286,0,0.0,1,1,1,0,0,0,0.0,0.0,0,0.0,0.0,0,3.5805933717645884
731,64,M,1,0,SVC,PARTICULIER,31,,,PJUN9,W,-385.9641666666667,-1033.2150000000001,36,0.0,1239.2,1,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
825,81,M,1,0,SVC,PARTICULIER,30,,,PJUN6,W,247.60125000000002,-119.72,36,892.8966666666666,0.0,0,1,0.0,0.0,15,8900.0,4,40.0,0,0.0,0.0,0,0,3177,1059,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,21.86971996304542
330,81,F,1,0,GLD,PARTICULIER,28,,,PLOCI,W,5415.88625,0.0,24,1512.9991304347827,80712.23,12,0,0.0,0.0,30,56000.0,10,200.0,0,0.0,0.0,0,1,3176,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.928909372865798
330,81,M,1,0,SIL,PARTICULIER,32,,,PLOC1,V,576.1333333333333,-40.76,24,1174.266470588235,43846.0,12,12,0.0,0.0,69,31900.0,93,1350.0,0,0.0,0.0,0,0,2053,750,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,5.5430224485072905
323,27,M,9,0,GLD,PARTICULIER,34,,,PLOCO,W,752.9184,-153.71,36,3820.2374999999993,23826.620000000003,3,2,0.0,0.0,13,17900.0,52,1728.8,0,0.0,0.0,0,0,2053,1064,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,22.55723860646784
450,45,M,1,0,SIL,PARTICULIER,40,,,PLOCI,W,126.1777922077922,-75.11,36,523.6352631578948,70715.65,14,294,1100.0,3.741496598639456,104,61100.0,0,0.0,0,0.0,0.0,0,0,1499,678,1,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,31.780869912481773
480,27,F,1,0,SVC,PARTICULIER,39,,,PFA01,W,28334.288333333323,847.065,24,45272.472928571435,60842.08,12,0,0.0,0.0,0,0.0,21,1054.0,0,0.0,0.0,0,1,3176,699,0,0.0,1,1,1,1,0,0,0.0,0.0,0,0.0,0.0,0,3.5805933717645884
780,78,F,9,0,SVC,PARTICULIER,31,,,PLOC1,W,-4987.24625,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3176,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
